CONCEPT_ID,CONCEPT_NAME,DOMAIN_ID,VOCABULARY_ID,CONCEPT_CLASS_ID,STANDARD_CONCEPT,CONCEPT_CODE,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
2720140.0,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L5940,1377,693,2010-02-04,2026-02-05
2720029.0,"Addition to lower extremity, below knee, acrylic socket",Device,HCPCS,HCPCS,S,L5629,1359,682,2010-02-04,2026-02-05
2720024.0,"Addition to lower extremity, test socket, below knee",Device,HCPCS,HCPCS,S,L5620,1359,681,2010-02-04,2026-02-05
2720136.0,"Addition, endoskeletal system, below knee, alignable system",Device,HCPCS,HCPCS,S,L5910,1296,667,2010-02-04,2026-02-05
2614772.0,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",Device,HCPCS,HCPCS,S,A4344,1203,484,2010-04-26,2026-02-05
2719742.0,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal support, each",Device,HCPCS,HCPCS,S,L3020,1188,992,2010-01-14,2026-02-10
2719622.0,"Ankle foot orthosis, plastic with ankle joint, custom fabricated",Device,HCPCS,HCPCS,S,L1970,1124,1050,2010-01-30,2026-02-17
2719587.0,"Knee orthosis, elastic with condylar pads and joints, with or without patellar control, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1820,1062,1010,2010-01-13,2026-02-16
2719846.0,"Elbow orthosis (eo), with adjustable position locking joint(s), prefabricated, item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L3760,1050,1019,2010-01-07,2026-02-03
2615083.0,"For diabetics only, multiple density insert, direct formed, molded to foot after external heat source of 230 degrees fahrenheit or higher, total contact with patient's foot, including arch, base layer minimum of 1/4 inch material of shore a 35 duromete...",Device,HCPCS,HCPCS,S,A5512,1049,663,2010-01-27,2026-02-05
2615327.0,"Thallium tl-201 thallous chloride, diagnostic, per millicurie",Device,HCPCS,HCPCS,S,A9505,1042,1011,2009-12-30,2016-12-19
43533268.0,"Florbetapir f18, diagnostic, per study dose, up to 10 millicuries",Device,HCPCS,HCPCS,S,A9586,1035,941,2016-06-10,2026-02-13
2614905.0,"Pessary, reusable, non rubber, any type",Device,HCPCS,HCPCS,S,A4562,993,762,2010-01-05,2026-02-10
2614906.0,Slings,Device,HCPCS,HCPCS,S,A4565,993,978,2009-12-07,2026-01-07
2719744.0,"Foot, insert/plate, removable, addition to lower extremity orthosis, high strength, lightweight material, all hybrid lamination/prepreg composite, each",Device,HCPCS,HCPCS,S,L3031,939,919,2010-11-18,2026-02-13
2720436.0,"Tracheo-esophageal voice prosthesis, inserted by a licensed health care provider, any type",Device,HCPCS,HCPCS,S,L8509,915,212,2010-02-11,2026-02-06
40662243.0,"Injection, gadoxetate disodium, 1 ml",Device,HCPCS,HCPCS,S,A9581,914,685,2010-01-04,2017-02-15
2616482.0,"Crutches underarm, other than wood, adjustable or fixed, pair, with pads, tips and handgrips",Device,HCPCS,HCPCS,S,E0114,873,867,2009-12-07,2026-02-04
2615295.0,"Helmet, protective, soft, prefabricated, includes all components and accessories",Device,HCPCS,HCPCS,S,A8000,828,721,2009-12-30,2026-01-29
2719936.0,"Upper extremity fracture orthosis, wrist, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L3984,818,770,2010-06-10,2026-02-05
2615084.0,"For diabetics only, multiple density insert, custom molded from model of patient's foot, total contact with patient's foot, including arch, base layer minimum of 3/16 inch material of shore a 35 durometer (or higher), includes arch filler and other sha...",Device,HCPCS,HCPCS,S,A5513,804,618,2010-07-06,2026-02-13
2719988.0,"Below knee, molded socket, shin, sach foot, endoskeletal system",Device,HCPCS,HCPCS,S,L5301,788,622,2010-02-04,2026-01-29
2719621.0,"Ankle foot orthosis, posterior solid ankle, plastic, custom fabricated",Device,HCPCS,HCPCS,S,L1960,788,726,2009-12-29,2026-02-16
2720168.0,"Lower extremity prosthesis, not otherwise specified",Device,HCPCS,HCPCS,S,L5999,785,685,2010-10-22,2026-02-16
2719957.0,"Repair of orthotic device, labor component, per 15 minutes",Device,HCPCS,HCPCS,S,L4205,734,713,2009-12-10,2026-01-26
2719811.0,"Heel, pad, removable for spur",Device,HCPCS,HCPCS,S,L3485,729,702,2010-02-09,2025-07-31
2721964.0,"Ear mold/insert, not disposable, any type",Device,HCPCS,HCPCS,S,V5264,716,541,2010-05-25,2026-02-13
2720422.0,"Prosthetic sock, multiple ply, above knee, each",Device,HCPCS,HCPCS,S,L8430,711,442,2010-03-03,2026-02-16
2720425.0,"Prosthetic shrinker, above knee, each",Device,HCPCS,HCPCS,S,L8460,711,476,2009-12-30,2026-02-16
2719746.0,"Foot, arch support, removable, premolded, metatarsal, each",Device,HCPCS,HCPCS,S,L3050,710,682,2016-11-22,2026-02-04
2721960.0,"Hearing aid, digital, binaural, ite",Device,HCPCS,HCPCS,S,V5260,710,602,2010-03-30,2026-01-30
