ANCESTOR_CONCEPT_ID,ANCESTOR_CONCEPT_NAME,ANCESTOR_DOMAIN_ID,ANCESTOR_VOCABULARY_ID,ANCESTOR_CONCEPT_CLASS_ID,ANCESTOR_STANDARD_CONCEPT,ANCESTOR_CONCEPT_CODE,DESCENDANT_CONCEPTS_PRESENT,TOTAL_ROWS,DISTINCT_PERSONS,FIRST_DATE,LAST_DATE
40664904,"Injection, gadobutrol, 0.1 ml",Device,HCPCS,HCPCS,S,A9585,1,2749,2641,2019-11-21,2026-01-21
2614937,"Spacer, bag or reservoir, with or without mask, for use with metered dose inhaler",Device,HCPCS,HCPCS,S,A4627,1,2683,2556,2009-12-29,2026-02-12
2614783,"Bedside drainage bag, day or night, with or without anti-reflux device, with or without tube, each",Device,HCPCS,HCPCS,S,A4357,1,2640,846,2010-01-07,2026-02-05
2614899,"Electrodes, (e.g., apnea monitor), per pair",Device,HCPCS,HCPCS,S,A4556,1,2553,775,2010-01-05,2018-03-02
2720421,"Prosthetic sock, multiple ply, below knee, each",Device,HCPCS,HCPCS,S,L8420,1,2548,1260,2010-02-04,2026-02-05
1314290,"Gallium ga-68, dotatate, diagnostic, 0.1 millicurie",Device,HCPCS,HCPCS,S,A9587,1,2542,1213,2017-06-06,2026-02-13
2614784,"Urinary drainage bag, leg or abdomen, vinyl, with or without tube, with straps, each",Device,HCPCS,HCPCS,S,A4358,1,2427,769,2010-01-07,2026-02-05
2615324,"Technetium tc-99m tetrofosmin, diagnostic, per study dose",Device,HCPCS,HCPCS,S,A9502,1,2290,2210,2010-02-04,2026-02-13
2720068,"Addition to lower extremity, below knee/above knee, custom fabricated from existing mold or prefabricated, socket insert, silicone gel, elastomeric or equal, for use with locking mechanism",Device,HCPCS,HCPCS,S,L5673,1,2263,951,2010-02-04,2026-02-16
2721924,"Dispensing fee, unspecified hearing aid",Device,HCPCS,HCPCS,S,V5090,1,2141,1961,2015-01-23,2026-02-16
4029205,Procedure by method,Procedure,SNOMED,Procedure,S,128927009,10,2133,1576,2009-12-10,2026-02-16
2719891,"Hand finger orthosis, without joints, may include soft interface, straps, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L3923,1,2046,1913,2009-11-09,2026-01-30
2615031,"Gloves, non-sterile, per 100",Device,HCPCS,HCPCS,S,A4927,1,2027,1682,2010-01-20,2026-02-05
2721399,"Gradient pressure aid (glove), ready made",Device,HCPCS,HCPCS,S,S8427,1,2023,1749,2016-03-03,2026-02-12
1314285,"Belt, strap, sleeve, garment, or covering, any type",Device,HCPCS,HCPCS,S,A4467,1,1947,1740,2010-01-25,2026-02-04
2721961,"Hearing aid, digital, binaural, bte",Device,HCPCS,HCPCS,S,V5261,1,1890,1730,2015-01-06,2026-02-16
2719585,"Knee orthosis, elastic with joints, prefabricated item that has been trimmed, bent, molded, assembled, or otherwise customized to fit a specific patient by an individual with expertise",Device,HCPCS,HCPCS,S,L1810,1,1815,1699,2009-12-14,2025-12-18
2719616,"Afo, rigid anterior tibial section, total carbon fiber or equal material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1932,1,1758,1582,2009-12-24,2026-02-12
2615071,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe",Device,HCPCS,HCPCS,S,A5500,1,1721,1042,2010-01-27,2026-02-13
2719615,"Ankle foot orthosis, plastic or other material, prefabricated, includes fitting and adjustment",Device,HCPCS,HCPCS,S,L1930,1,1683,1584,2009-12-30,2026-02-03
2720427,"Prosthetic sock, single ply, fitting, below knee, each",Device,HCPCS,HCPCS,S,L8470,1,1682,750,2010-02-04,2026-02-05
2720066,"Addition to lower extremity, below knee / above knee suspension locking mechanism (shuttle, lanyard or equal), excludes socket insert",Device,HCPCS,HCPCS,S,L5671,1,1680,912,2010-02-04,2026-02-16
2719961,"Ankle control orthosis, stirrup style, rigid, includes any type interface (e.g., pneumatic, gel), prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L4350,1,1657,1577,2010-02-11,2023-10-30
44786589,"Knee orthosis, elastic with joints, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L1812,1,1591,1514,2014-09-26,2026-02-03
2719552,"Addition to tlso, (low profile), anterior thoracic extension",Device,HCPCS,HCPCS,S,L1220,1,1570,1553,2010-07-14,2025-10-10
2614911,"Special casting material (e.g., fiberglass)",Device,HCPCS,HCPCS,S,A4590,1,1553,1196,2010-02-16,2024-05-15
4322976,Procedure,Procedure,SNOMED,Procedure,S,71388002,5,1533,1171,2009-12-10,2026-02-16
2721871,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",Device,HCPCS,HCPCS,S,V2615,1,1507,1365,2010-02-02,2026-02-13
2719893,"Finger orthosis, proximal interphalangeal (pip)/distal interphalangeal (dip), non torsion joint/spring, extension/flexion, may include soft interface material, prefabricated, off-the-shelf",Device,HCPCS,HCPCS,S,L3925,1,1503,1283,2009-12-22,2026-02-09
2720424,"Prosthetic shrinker, below knee, each",Device,HCPCS,HCPCS,S,L8440,1,1439,850,2009-12-29,2026-02-16
4075084,Appliance procedures,Procedure,SNOMED,Procedure,S,223490009,8,1417,1291,2009-12-10,2026-02-03
4027403,Introduction procedure,Procedure,SNOMED,Procedure,S,107733003,8,1394,903,2010-01-06,2026-02-16
2720035,"Addition to lower extremity, below knee, total contact",Device,HCPCS,HCPCS,S,L5637,1,1390,694,2010-02-04,2026-02-05
4180627,Procedure by site,Procedure,SNOMED,Procedure,S,362958002,7,1385,894,2010-01-06,2026-02-16
4107441,Amputation stump procedure,Procedure,SNOMED,Procedure,S,180045004,6,1383,892,2010-01-06,2026-02-16
2720140,"Addition, endoskeletal system, below knee, ultra-light material (titanium, carbon fiber or equal)",Device,HCPCS,HCPCS,S,L5940,1,1377,693,2010-02-04,2026-02-05
2720029,"Addition to lower extremity, below knee, acrylic socket",Device,HCPCS,HCPCS,S,L5629,1,1359,682,2010-02-04,2026-02-05
2720024,"Addition to lower extremity, test socket, below knee",Device,HCPCS,HCPCS,S,L5620,1,1359,681,2010-02-04,2026-02-05
2720136,"Addition, endoskeletal system, below knee, alignable system",Device,HCPCS,HCPCS,S,L5910,1,1296,667,2010-02-04,2026-02-05
2614772,"Indwelling catheter, foley type, two-way, all silicone or polyurethane, each",Device,HCPCS,HCPCS,S,A4344,1,1203,484,2010-04-26,2026-02-05
2719742,"Foot, insert, removable, molded to patient model, longitudinal/ metatarsal support, each",Device,HCPCS,HCPCS,S,L3020,1,1188,992,2010-01-14,2026-02-10
2719622,"Ankle foot orthosis, plastic with ankle joint, custom fabricated",Device,HCPCS,HCPCS,S,L1970,1,1124,1050,2010-01-30,2026-02-17
